County,WeekStartDate,Hospitalizations,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Franklin County,2020-04-05,8,0,1,1,6,0,0,2020/07/05 15:36:42
Franklin County,2020-04-12,11,0,1,5,4,1,0,2020/07/05 15:36:42
Franklin County,2020-04-19,10,0,0,3,4,3,0,2020/07/05 15:36:42
Franklin County,2020-04-26,6,0,1,2,2,1,0,2020/07/05 15:36:42
Franklin County,2020-05-03,8,0,2,2,2,2,0,2020/07/05 15:36:42
Franklin County,2020-05-10,7,0,3,2,2,0,0,2020/07/05 15:36:42
Franklin County,2020-05-17,3,0,1,1,1,0,0,2020/07/05 15:36:42
Franklin County,2020-05-24,11,2,1,3,5,0,0,2020/07/05 15:36:42
Franklin County,2020-05-31,11,0,0,3,7,1,0,2020/07/05 15:36:42
Franklin County,2020-06-07,17,1,1,7,7,1,0,2020/07/05 15:36:42
Franklin County,2020-06-14,25,1,5,5,13,1,0,2020/07/05 15:36:42
Franklin County,2020-06-21,20,1,5,10,3,1,0,2020/07/05 15:36:42
Franklin County,2020-06-28,14,0,3,4,4,3,0,2020/07/05 15:36:42
Grant County,2020-02-23,1,0,0,0,0,1,0,2020/07/05 15:36:42
Grant County,2020-03-01,1,0,0,1,0,0,0,2020/07/05 15:36:42
Grant County,2020-03-08,1,0,0,1,0,0,0,2020/07/05 15:36:42
Grant County,2020-03-15,4,0,1,2,1,0,0,2020/07/05 15:36:42
Grant County,2020-03-22,7,0,0,2,5,0,0,2020/07/05 15:36:42
Grant County,2020-03-29,4,0,1,0,3,0,0,2020/07/05 15:36:42
Grant County,2020-04-05,3,0,0,1,2,0,0,2020/07/05 15:36:42
Grant County,2020-04-26,1,0,1,0,0,0,0,2020/07/05 15:36:42
Grant County,2020-05-17,1,0,0,1,0,0,0,2020/07/05 15:36:42
Grant County,2020-05-31,3,0,1,1,0,1,0,2020/07/05 15:36:42
Grant County,2020-06-07,3,1,0,1,1,0,0,2020/07/05 15:36:42
Grant County,2020-06-14,6,0,1,1,1,3,0,2020/07/05 15:36:42
Grant County,2020-06-21,9,0,1,4,3,1,0,2020/07/05 15:36:42
Grant County,2020-06-28,2,0,1,1,0,0,0,2020/07/05 15:36:42
Grays Harbor County,2020-03-01,1,0,0,0,1,0,0,2020/07/05 15:36:42
Grays Harbor County,2020-03-22,1,0,0,1,0,0,0,2020/07/05 15:36:42
Grays Harbor County,2020-04-05,4,0,0,1,3,0,0,2020/07/05 15:36:42
Grays Harbor County,2020-05-10,1,0,0,0,1,0,0,2020/07/05 15:36:42
Grays Harbor County,2020-06-21,1,0,0,1,0,0,0,2020/07/05 15:36:42
Island County,2020-02-17,1,0,0,0,0,1,0,2020/07/05 15:36:42
Island County,2020-03-08,5,0,0,2,1,2,0,2020/07/05 15:36:42
Island County,2020-03-15,2,0,0,0,1,1,0,2020/07/05 15:36:42
Island County,2020-03-22,6,0,0,0,2,4,0,2020/07/05 15:36:42
Island County,2020-03-29,5,0,0,1,3,1,0,2020/07/05 15:36:42
Island County,2020-04-05,1,0,0,1,0,0,0,2020/07/05 15:36:42
Island County,2020-04-12,1,0,1,0,0,0,0,2020/07/05 15:36:42
Island County,2020-04-26,2,0,0,0,0,2,0,2020/07/05 15:36:42
Island County,2020-05-03,1,0,0,1,0,0,0,2020/07/05 15:36:42
Island County,2020-05-24,1,0,0,1,0,0,0,2020/07/05 15:36:42
Island County,2020-06-21,1,0,0,0,1,0,0,2020/07/05 15:36:42
Jefferson County,2020-03-01,1,0,0,0,1,0,0,2020/07/05 15:36:42
Jefferson County,2020-03-08,1,0,0,0,1,0,0,2020/07/05 15:36:42
Jefferson County,2020-03-15,2,0,0,1,1,0,0,2020/07/05 15:36:42
Jefferson County,2020-03-22,1,0,0,0,1,0,0,2020/07/05 15:36:42
Jefferson County,2020-05-03,1,0,0,0,0,1,0,2020/07/05 15:36:42
Jefferson County,2020-06-14,1,0,0,0,1,0,0,2020/07/05 15:36:42
Jefferson County,2020-06-21,1,0,0,0,1,0,0,2020/07/05 15:36:42
King County,2020-01-20,1,0,0,0,1,0,0,2020/07/05 15:36:42
King County,2020-01-27,2,0,0,0,1,1,0,2020/07/05 15:36:42
King County,2020-02-04,2,0,0,0,2,0,0,2020/07/05 15:36:42
King County,2020-02-10,8,0,0,1,2,5,0,2020/07/05 15:36:42
King County,2020-02-17,17,0,2,0,6,9,0,2020/07/05 15:36:42
King County,2020-02-23,31,0,1,8,13,9,0,2020/07/05 15:36:42
King County,2020-03-01,85,0,3,8,35,39,0,2020/07/05 15:36:42
King County,2020-03-08,119,1,7,16,61,34,0,2020/07/05 15:36:42
King County,2020-03-15,140,0,8,32,55,45,0,2020/07/05 15:36:42
King County,2020-03-22,224,2,17,63,94,48,0,2020/07/05 15:36:42
King County,2020-03-29,264,2,25,62,111,63,1,2020/07/05 15:36:42
King County,2020-04-05,193,1,19,56,75,42,0,2020/07/05 15:36:42
King County,2020-04-12,141,2,19,44,48,28,0,2020/07/05 15:36:42
King County,2020-04-19,126,0,14,33,53,26,0,2020/07/05 15:36:42
King County,2020-04-26,83,0,8,29,28,18,0,2020/07/05 15:36:42
King County,2020-05-03,67,0,12,16,23,16,0,2020/07/05 15:36:42
King County,2020-05-10,58,1,12,16,18,11,0,2020/07/05 15:36:42
King County,2020-05-17,55,1,9,15,17,13,0,2020/07/05 15:36:42
King County,2020-05-24,41,2,5,7,12,15,0,2020/07/05 15:36:42
King County,2020-05-31,32,2,6,7,12,5,0,2020/07/05 15:36:42
King County,2020-06-07,29,0,6,12,9,2,0,2020/07/05 15:36:42
King County,2020-06-14,28,3,4,5,7,9,0,2020/07/05 15:36:42
King County,2020-06-21,41,0,12,11,11,7,0,2020/07/05 15:36:42
King County,2020-06-28,20,0,5,6,5,4,0,2020/07/05 15:36:42
Kitsap County,2020-03-01,1,0,0,0,1,0,0,2020/07/05 15:36:42
Kitsap County,2020-03-08,3,0,0,3,0,0,0,2020/07/05 15:36:42
Kitsap County,2020-03-15,1,0,0,0,1,0,0,2020/07/05 15:36:42
Kitsap County,2020-03-22,3,0,0,0,2,1,0,2020/07/05 15:36:42
Kitsap County,2020-03-29,13,0,2,3,4,4,0,2020/07/05 15:36:42
Kitsap County,2020-04-05,2,0,0,0,2,0,0,2020/07/05 15:36:42
Kitsap County,2020-04-19,1,0,0,0,1,0,0,2020/07/05 15:36:42
Kitsap County,2020-05-17,1,0,1,0,0,0,0,2020/07/05 15:36:42
Kitsap County,2020-06-07,2,0,0,2,0,0,0,2020/07/05 15:36:42
Kitsap County,2020-06-14,1,0,0,1,0,0,0,2020/07/05 15:36:42
Kitsap County,2020-06-21,4,0,1,1,1,1,0,2020/07/05 15:36:42
Kittitas County,2020-04-26,1,0,0,1,0,0,0,2020/07/05 15:36:42
Kittitas County,2020-05-24,1,1,0,0,0,0,0,2020/07/05 15:36:42
Kittitas County,2020-06-21,2,0,0,1,1,0,0,2020/07/05 15:36:42
Klickitat County,2020-03-15,1,0,0,0,1,0,0,2020/07/05 15:36:42
Klickitat County,2020-03-22,1,0,0,0,0,1,0,2020/07/05 15:36:42
Klickitat County,2020-04-05,1,0,0,0,0,1,0,2020/07/05 15:36:42
Klickitat County,2020-04-12,1,0,0,0,1,0,0,2020/07/05 15:36:42
Klickitat County,2020-06-14,2,0,0,2,0,0,0,2020/07/05 15:36:42
Lewis County,2020-03-08,1,0,0,0,0,1,0,2020/07/05 15:36:42
Lewis County,2020-03-29,4,0,0,1,2,1,0,2020/07/05 15:36:42
Lewis County,2020-04-19,2,0,1,0,1,0,0,2020/07/05 15:36:42
Lewis County,2020-05-10,1,0,0,1,0,0,0,2020/07/05 15:36:42
Lewis County,2020-05-17,1,0,0,1,0,0,0,2020/07/05 15:36:42
Lewis County,2020-06-14,3,0,1,0,1,1,0,2020/07/05 15:36:42
Lewis County,2020-06-21,1,0,1,0,0,0,0,2020/07/05 15:36:42
Lewis County,2020-06-28,1,0,0,0,1,0,0,2020/07/05 15:36:42
Mason County,2020-03-29,1,0,0,0,1,0,0,2020/07/05 15:36:42
Mason County,2020-04-12,2,0,0,0,2,0,0,2020/07/05 15:36:42
Mason County,2020-04-19,1,0,0,1,0,0,0,2020/07/05 15:36:42
Mason County,2020-05-31,1,0,0,1,0,0,0,2020/07/05 15:36:42
Okanogan County,2020-03-29,1,0,0,0,1,0,0,2020/07/05 15:36:42
Okanogan County,2020-04-26,1,0,1,0,0,0,0,2020/07/05 15:36:42
Okanogan County,2020-05-03,2,0,1,0,1,0,0,2020/07/05 15:36:42
Okanogan County,2020-05-24,1,0,0,1,0,0,0,2020/07/05 15:36:42
Pacific County,2020-06-28,1,0,1,0,0,0,0,2020/07/05 15:36:42
Pierce County,2020-02-17,2,0,0,0,2,0,0,2020/07/05 15:36:42
Pierce County,2020-02-23,1,0,0,1,0,0,0,2020/07/05 15:36:42
Pierce County,2020-03-01,5,0,2,3,0,0,0,2020/07/05 15:36:42
Pierce County,2020-03-08,10,1,2,1,6,0,0,2020/07/05 15:36:42
Pierce County,2020-03-15,35,0,7,12,13,3,0,2020/07/05 15:36:42
Pierce County,2020-03-22,54,0,8,14,27,5,0,2020/07/05 15:36:42
Pierce County,2020-03-29,48,0,6,12,25,5,0,2020/07/05 15:36:42
Pierce County,2020-04-05,43,0,4,20,13,6,0,2020/07/05 15:36:42
Pierce County,2020-04-12,35,0,2,8,17,8,0,2020/07/05 15:36:42
Pierce County,2020-04-19,24,2,5,9,8,0,0,2020/07/05 15:36:42
Pierce County,2020-04-26,32,0,7,14,9,2,0,2020/07/05 15:36:42
Pierce County,2020-05-03,14,0,0,7,5,2,0,2020/07/05 15:36:42
Pierce County,2020-05-10,14,1,1,6,4,2,0,2020/07/05 15:36:42
Pierce County,2020-05-17,9,0,0,2,3,4,0,2020/07/05 15:36:42
Pierce County,2020-05-24,15,0,3,6,4,2,0,2020/07/05 15:36:42
Pierce County,2020-05-31,13,0,2,5,6,0,0,2020/07/05 15:36:42
Pierce County,2020-06-07,12,0,1,3,7,1,0,2020/07/05 15:36:42
Pierce County,2020-06-14,9,0,4,2,2,1,0,2020/07/05 15:36:42
Pierce County,2020-06-21,16,0,2,7,4,3,0,2020/07/05 15:36:42
Pierce County,2020-06-28,10,2,1,3,0,4,0,2020/07/05 15:36:42
San Juan County,2020-03-15,1,0,0,1,0,0,0,2020/07/05 15:36:42
Skagit County,2020-03-08,2,0,2,0,0,0,0,2020/07/05 15:36:42
Skagit County,2020-03-15,4,0,0,0,1,3,0,2020/07/05 15:36:42
Skagit County,2020-03-22,9,0,0,2,7,0,0,2020/07/05 15:36:42
Skagit County,2020-03-29,8,0,1,3,2,2,0,2020/07/05 15:36:42
Skagit County,2020-04-05,3,0,0,1,2,0,0,2020/07/05 15:36:42
Skagit County,2020-04-12,11,0,2,4,4,1,0,2020/07/05 15:36:42
Skagit County,2020-04-19,4,0,1,1,1,1,0,2020/07/05 15:36:42
Skagit County,2020-04-26,4,0,2,0,2,0,0,2020/07/05 15:36:42
Skagit County,2020-05-03,3,0,0,2,0,1,0,2020/07/05 15:36:42
Skagit County,2020-05-10,2,0,0,2,0,0,0,2020/07/05 15:36:42
Skagit County,2020-05-17,1,0,0,1,0,0,0,2020/07/05 15:36:42
Skagit County,2020-06-07,3,0,2,1,0,0,0,2020/07/05 15:36:42
Skagit County,2020-06-14,2,0,1,0,1,0,0,2020/07/05 15:36:42
Skagit County,2020-06-21,1,0,0,1,0,0,0,2020/07/05 15:36:42
Skagit County,2020-06-28,2,0,0,2,0,0,0,2020/07/05 15:36:42
Skamania County,2020-03-29,1,0,0,0,1,0,0,2020/07/05 15:36:42
Skamania County,2020-06-21,1,0,0,0,0,1,0,2020/07/05 15:36:42
Snohomish County,2020-01-12,1,0,0,1,0,0,0,2020/07/05 15:36:42
Snohomish County,2020-01-20,1,0,1,0,0,0,0,2020/07/05 15:36:42
Snohomish County,2020-02-04,2,0,1,0,1,0,0,2020/07/05 15:36:42
Snohomish County,2020-02-10,1,0,0,0,0,1,0,2020/07/05 15:36:42
Snohomish County,2020-02-23,8,0,0,4,3,1,0,2020/07/05 15:36:42
Snohomish County,2020-03-01,24,0,3,6,11,4,0,2020/07/05 15:36:42
Snohomish County,2020-03-08,56,0,4,7,24,21,0,2020/07/05 15:36:42
Snohomish County,2020-03-15,84,0,6,21,39,18,0,2020/07/05 15:36:42
Snohomish County,2020-03-22,85,1,12,30,33,9,0,2020/07/05 15:36:42
Snohomish County,2020-03-29,83,0,12,24,27,20,0,2020/07/05 15:36:42
Snohomish County,2020-04-05,48,1,6,15,16,10,0,2020/07/05 15:36:42
Snohomish County,2020-04-12,39,1,4,12,12,10,0,2020/07/05 15:36:42
Snohomish County,2020-04-19,29,1,3,5,11,9,0,2020/07/05 15:36:42
Snohomish County,2020-04-26,29,0,3,6,10,10,0,2020/07/05 15:36:42
Snohomish County,2020-05-03,31,0,5,12,7,7,0,2020/07/05 15:36:42
Snohomish County,2020-05-10,16,0,3,2,4,7,0,2020/07/05 15:36:42
Snohomish County,2020-05-17,16,0,3,4,5,4,0,2020/07/05 15:36:42
Snohomish County,2020-05-24,14,1,2,3,8,0,0,2020/07/05 15:36:42
Snohomish County,2020-05-31,9,0,0,2,6,1,0,2020/07/05 15:36:42
Snohomish County,2020-06-07,12,0,1,6,5,0,0,2020/07/05 15:36:42
Snohomish County,2020-06-14,9,0,0,2,3,4,0,2020/07/05 15:36:42
Snohomish County,2020-06-21,11,0,3,5,2,1,0,2020/07/05 15:36:42
Snohomish County,2020-06-28,3,0,0,1,2,0,0,2020/07/05 15:36:42
Spokane County,2020-03-15,9,0,0,4,4,1,0,2020/07/05 15:36:42
Spokane County,2020-03-22,20,0,2,5,8,5,0,2020/07/05 15:36:42
Spokane County,2020-03-29,9,0,1,2,3,3,0,2020/07/05 15:36:42
Spokane County,2020-04-05,14,0,2,1,7,4,0,2020/07/05 15:36:42
Spokane County,2020-04-12,5,0,0,1,2,2,0,2020/07/05 15:36:42
Spokane County,2020-04-19,8,0,0,1,6,1,0,2020/07/05 15:36:42
Spokane County,2020-04-26,2,0,0,1,1,0,0,2020/07/05 15:36:42
Spokane County,2020-05-03,1,0,0,0,0,1,0,2020/07/05 15:36:42
Spokane County,2020-05-10,4,0,0,2,2,0,0,2020/07/05 15:36:42
Spokane County,2020-05-17,7,1,0,4,1,1,0,2020/07/05 15:36:42
Spokane County,2020-05-24,5,0,2,1,1,1,0,2020/07/05 15:36:42
Spokane County,2020-05-31,3,0,0,1,2,0,0,2020/07/05 15:36:42
Spokane County,2020-06-07,7,0,1,5,1,0,0,2020/07/05 15:36:42
Spokane County,2020-06-14,10,0,1,4,5,0,0,2020/07/05 15:36:42
Spokane County,2020-06-21,17,0,0,8,7,2,0,2020/07/05 15:36:42
Spokane County,2020-06-28,15,1,4,1,2,7,0,2020/07/05 15:36:42
Stevens County,2020-03-15,1,0,0,1,0,0,0,2020/07/05 15:36:42
Stevens County,2020-03-29,1,0,0,0,1,0,0,2020/07/05 15:36:42
Stevens County,2020-04-05,1,0,0,0,1,0,0,2020/07/05 15:36:42
Stevens County,2020-04-19,1,0,0,0,1,0,0,2020/07/05 15:36:42
Stevens County,2020-06-21,1,0,0,0,1,0,0,2020/07/05 15:36:42
Thurston County,2020-03-08,4,0,0,3,1,0,0,2020/07/05 15:36:42
Thurston County,2020-03-15,1,0,0,0,1,0,0,2020/07/05 15:36:42
Thurston County,2020-03-22,4,0,0,1,1,2,0,2020/07/05 15:36:42
Thurston County,2020-03-29,3,0,0,2,1,0,0,2020/07/05 15:36:42
Thurston County,2020-04-05,2,0,0,0,2,0,0,2020/07/05 15:36:42
Thurston County,2020-04-12,1,0,0,1,0,0,0,2020/07/05 15:36:42
Thurston County,2020-04-19,1,0,0,0,1,0,0,2020/07/05 15:36:42
Thurston County,2020-04-26,1,0,0,0,1,0,0,2020/07/05 15:36:42
Thurston County,2020-05-24,3,0,0,0,2,1,0,2020/07/05 15:36:42
Thurston County,2020-05-31,6,0,0,3,0,3,0,2020/07/05 15:36:42
Thurston County,2020-06-07,7,0,1,0,2,4,0,2020/07/05 15:36:42
Thurston County,2020-06-14,1,0,1,0,0,0,0,2020/07/05 15:36:42
Thurston County,2020-06-21,1,0,0,1,0,0,0,2020/07/05 15:36:42
Thurston County,2020-06-28,2,0,0,0,2,0,0,2020/07/05 15:36:42
Walla Walla County,2020-03-29,1,0,0,0,1,0,0,2020/07/05 15:36:42
Walla Walla County,2020-04-05,2,0,1,0,1,0,0,2020/07/05 15:36:42
Walla Walla County,2020-04-19,4,0,0,0,3,1,0,2020/07/05 15:36:42
Walla Walla County,2020-05-17,1,0,0,1,0,0,0,2020/07/05 15:36:42
Walla Walla County,2020-06-14,1,0,0,1,0,0,0,2020/07/05 15:36:42
Walla Walla County,2020-06-21,3,0,0,0,3,0,0,2020/07/05 15:36:42
Whatcom County,2020-03-01,1,0,0,0,1,0,0,2020/07/05 15:36:42
Whatcom County,2020-03-08,4,1,0,0,3,0,0,2020/07/05 15:36:42
Whatcom County,2020-03-15,13,0,0,5,3,5,0,2020/07/05 15:36:42
Whatcom County,2020-03-22,5,0,0,0,3,2,0,2020/07/05 15:36:42
Whatcom County,2020-03-29,7,0,2,2,0,3,0,2020/07/05 15:36:42
Whatcom County,2020-04-05,6,0,1,0,4,1,0,2020/07/05 15:36:42
Whatcom County,2020-04-12,3,0,0,1,1,1,0,2020/07/05 15:36:42
Whatcom County,2020-04-19,3,0,1,1,1,0,0,2020/07/05 15:36:42
Whatcom County,2020-04-26,2,0,0,1,0,1,0,2020/07/05 15:36:42
Whatcom County,2020-05-03,2,0,0,0,0,2,0,2020/07/05 15:36:42
Whatcom County,2020-05-17,1,0,1,0,0,0,0,2020/07/05 15:36:42
Whatcom County,2020-05-24,1,0,0,1,0,0,0,2020/07/05 15:36:42
Whatcom County,2020-05-31,1,0,0,0,1,0,0,2020/07/05 15:36:42
Whatcom County,2020-06-07,1,1,0,0,0,0,0,2020/07/05 15:36:42
Whatcom County,2020-06-21,4,0,1,1,2,0,0,2020/07/05 15:36:42
Whatcom County,2020-06-28,4,0,0,2,2,0,0,2020/07/05 15:36:42
Whitman County,2020-06-21,1,0,0,1,0,0,0,2020/07/05 15:36:42
Yakima County,2020-02-04,2,0,0,0,0,2,0,2020/07/05 15:36:42
Yakima County,2020-02-10,1,0,1,0,0,0,0,2020/07/05 15:36:42
Yakima County,2020-02-17,3,0,0,0,2,1,0,2020/07/05 15:36:42
Yakima County,2020-03-15,5,0,1,0,3,1,0,2020/07/05 15:36:42
Yakima County,2020-03-22,15,0,3,6,5,1,0,2020/07/05 15:36:42
Yakima County,2020-03-29,27,2,0,6,13,6,0,2020/07/05 15:36:42
Yakima County,2020-04-05,32,0,5,12,12,3,0,2020/07/05 15:36:42
Yakima County,2020-04-12,16,0,3,5,6,2,0,2020/07/05 15:36:42
Yakima County,2020-04-19,28,0,3,8,16,1,0,2020/07/05 15:36:42
Yakima County,2020-04-26,24,0,3,8,9,4,0,2020/07/05 15:36:42
Yakima County,2020-05-03,30,0,5,13,9,3,0,2020/07/05 15:36:42
Yakima County,2020-05-10,31,1,7,6,8,9,0,2020/07/05 15:36:42
Yakima County,2020-05-17,48,1,8,19,17,3,0,2020/07/05 15:36:42
Yakima County,2020-05-24,61,1,9,22,24,5,0,2020/07/05 15:36:42
Yakima County,2020-05-31,39,0,10,10,16,3,0,2020/07/05 15:36:42
Yakima County,2020-06-07,58,0,13,22,19,4,0,2020/07/05 15:36:42
Yakima County,2020-06-14,52,1,8,13,20,10,0,2020/07/05 15:36:42
Yakima County,2020-06-21,45,0,5,14,18,8,0,2020/07/05 15:36:42
Yakima County,2020-06-28,21,1,1,4,7,8,0,2020/07/05 15:36:42
Unassigned,2020-05-17,1,0,0,1,0,0,0,2020/07/05 15:36:42
Unassigned,2020-06-28,1,1,0,0,0,0,0,2020/07/05 15:36:42
Benton County,Unknown,2,0,0,2,0,0,0,2020/07/05 15:36:42
Chelan County,Unknown,1,0,0,1,0,0,0,2020/07/05 15:36:42
Cowlitz County,Unknown,2,0,0,1,1,0,0,2020/07/05 15:36:42
Douglas County,Unknown,1,0,1,0,0,0,0,2020/07/05 15:36:42
Franklin County,Unknown,7,0,1,3,2,1,0,2020/07/05 15:36:42
Grant County,Unknown,1,0,0,1,0,0,0,2020/07/05 15:36:42
Island County,Unknown,7,0,1,1,3,2,0,2020/07/05 15:36:42
King County,Unknown,13,0,1,6,2,4,0,2020/07/05 15:36:42
Klickitat County,Unknown,2,0,0,1,1,0,0,2020/07/05 15:36:42
Lewis County,Unknown,1,0,0,0,0,1,0,2020/07/05 15:36:42
Pacific County,Unknown,2,0,0,0,2,0,0,2020/07/05 15:36:42
Pierce County,Unknown,27,0,8,10,5,4,0,2020/07/05 15:36:42
Snohomish County,Unknown,1,0,1,0,0,0,0,2020/07/05 15:36:42
Spokane County,Unknown,6,1,2,2,1,0,0,2020/07/05 15:36:42
Thurston County,Unknown,3,0,0,1,1,1,0,2020/07/05 15:36:42
Walla Walla County,Unknown,2,0,0,1,1,0,0,2020/07/05 15:36:42
Whatcom County,Unknown,2,0,0,2,0,0,0,2020/07/05 15:36:42
Yakima County,Unknown,2,0,0,1,0,1,0,2020/07/05 15:36:42
